stub,pixel_size_nm_per_px,covered_px,total_px,coverage_fraction,coverage_percent,covered_area_nm2,covered_area_um2,n_rois,rois_per_nm2,rois_per_um2,mean_roi_area_nm2,summed_roi_area_nm2,summed_roi_area_um2,total_fenestration_area_nm2,total_fenestration_area_um2,porosity_fraction,porosity_percent
PR6_ME_02,3.704,366434,786432,0.46594492594401044,46.594492594401046,5027333.769344001,5.0273337693440014,531,0.00010562258731217846,105.62258731217845,1476.7060882561207,784130.9328640001,0.784130932864,784130.9328640001,0.784130932864,0.15597351774125762,15.597351774125762
PR1_ME_20,3.684,309602,786432,0.39367930094401044,39.367930094401046,4201873.761312,4.201873761312,359,8.543807367689819e-05,85.4380736768982,1822.787211409471,654380.6088960001,0.654380608896,654380.6088960001,0.654380608896,0.15573542806571017,15.573542806571016
PR9_ME_16,3.636,326380,786432,0.4150136311848958,41.50136311848958,4314905.48448,4.31490548448,487,0.00011286458110187077,112.8645811018708,1378.3520819383984,671257.463904,0.671257463904,671257.463904,0.671257463904,0.1555671303388688,15.55671303388688
PR11_ME_06,3.616,318519,786432,0.4050178527832031,40.50178527832031,4164781.169664,4.164781169664,493,0.0001183735663210784,118.37356632107841,1313.115266855984,647365.8265600001,0.6473658265600001,647365.8265600001,0.6473658265600001,0.15543813712839738,15.543813712839738
FAS20_ME_23,3.652,551241,786432,0.7009391784667969,70.09391784667969,7351958.546064001,7.351958546064001,674,9.16762514066184e-05,91.67625140661839,1695.3952470504453,1142696.3965120001,1.142696396512,1142696.3965120001,1.142696396512,0.15542748090218253,15.542748090218254
PR9_ME_08,3.636,71107,786432,0.09041722615559895,9.041722615559895,940069.8090720001,0.9400698090720001,89,9.467382011539898e-05,94.67382011539898,1641.1240427865168,146060.039808,0.146060039808,146060.039808,0.146060039808,0.15537148241382703,15.537148241382702
PR20_ME_27,3.69,398056,786432,0.5061543782552084,50.615437825520836,5419970.3016,5.4199703016,509,9.391195369645123e-05,93.91195369645122,1654.021766404715,841897.0791,0.8418970791,841897.0791,0.8418970791,0.15533241553952207,15.533241553952207
PR10_ME_14,3.636,356136,786432,0.452850341796875,45.2850341796875,4708294.563456,4.708294563456,494,0.00010492121793615909,104.9212179361591,1478.4207702995952,730339.860528,0.730339860528,730339.860528,0.730339860528,0.15511770784194803,15.511770784194804
FAS23_ME_24,3.697,423123,786432,0.5380287170410156,53.80287170410156,5783164.347507,5.783164347507,542,9.372031770697382e-05,93.72031770697382,1653.9561931586716,896444.256692,0.896444256692,896444.256692,0.896444256692,0.15500929989624765,15.500929989624765
PR5_ME_44,3.704,410499,786432,0.5219764709472656,52.19764709472656,5631888.648384001,5.631888648384001,557,9.890110312458398e-05,98.901103124584,1566.1545130053862,872348.0637440002,0.8723480637440002,872348.0637440002,0.8723480637440002,0.15489440899977833,15.489440899977833
